date,spot,mid_price,implied_vol
2019-07-31,333.77,9.72,0.2914
2019-08-30,335.35,9.76,0.2917
2019-09-30,336.93,9.8,0.292
2019-10-31,338.51,9.84,0.2923
2019-11-29,340.09,9.88,0.2926
2019-12-31,341.68,9.92,0.2929
2020-01-31,343.26,9.96,0.2932
2020-02-28,344.84,10.0,0.2935
2020-03-31,346.42,10.04,0.2938
2020-04-30,348.01,10.08,0.2941
2020-05-29,349.59,10.12,0.2944
2020-06-30,351.18,10.16,0.2947
2020-07-31,352.76,10.2,0.295
2020-08-31,354.35,10.24,0.2953
2020-09-30,355.93,10.28,0.2956
2020-10-30,357.52,10.32,0.2959
2020-11-30,359.11,10.36,0.2962
2020-12-31,360.7,10.4,0.2965
2021-01-29,362.28,10.44,0.2968
2021-02-26,363.87,10.48,0.2971
2021-03-31,365.46,10.52,0.2974
2021-04-30,367.05,10.56,0.2977
2021-05-31,368.64,10.6,0.298
2021-06-30,370.23,10.64,0.2983
2021-07-30,371.82,10.68,0.2986
2021-08-31,373.41,10.72,0.2989
2021-09-30,375.0,10.76,0.2992
2021-10-29,376.6,10.8,0.2995
2021-11-30,378.19,10.84,0.2998
2021-12-31,379.78,10.88,0.3001
2022-01-31,381.37,10.92,0.3004
2022-02-28,382.97,10.96,0.3007
2022-03-31,384.56,11.0,0.301
2022-04-29,386.16,11.04,0.3013
2022-05-31,387.75,11.08,0.3016
2022-06-30,389.35,11.12,0.3019
2022-07-29,390.94,11.16,0.3022
2022-08-31,392.54,11.2,0.3025
2022-09-30,394.14,11.24,0.3028
2022-10-31,395.74,11.28,0.3031
2022-11-30,397.33,11.32,0.3034
2022-12-30,398.93,11.36,0.3037
