date,spot,strike,option_type,implied_vol,mid_price,bid,ask,volume
2020-01-07,320.63,310.0,put,0.1943,2.37,2.26,2.44,788
2020-01-07,320.63,320.0,call,0.1693,3.12,2.91,3.1,492
2020-01-07,320.63,320.0,put,0.195,2.15,1.84,2.06,1174
2020-01-07,320.63,330.0,call,0.1813,2.62,2.52,2.68,725
2020-01-07,320.63,330.0,put,0.2002,11.71,11.35,11.62,927
2020-01-07,320.63,340.0,call,0.1863,2.87,2.56,2.79,767
2020-01-07,320.63,340.0,put,0.1975,22.09,21.94,22.2,747
2020-01-08,320.6,300.0,call,0.1722,23.88,23.51,23.76,714
2020-01-08,320.6,300.0,put,0.1921,3.4,3.06,3.22,1007
2020-01-08,320.6,310.0,call,0.1947,13.26,13.13,13.45,1002
2020-01-08,320.6,310.0,put,0.1918,2.35,2.19,2.51,783
2020-01-08,320.6,320.0,call,0.1598,2.95,2.69,2.82,1012
2020-01-08,320.6,320.0,put,0.2046,1.81,1.42,1.55,996
2020-01-08,320.6,330.0,call,0.1989,2.37,2.25,2.43,460
2020-01-08,320.6,330.0,put,0.2092,11.51,11.25,11.55,903
2020-01-08,320.6,340.0,call,0.1836,3.34,3.16,3.27,1092
2020-01-08,320.6,340.0,put,0.202,22.82,22.44,22.81,876
2020-01-09,319.22,300.0,call,0.1804,22.39,22.09,22.4,1034
2020-01-09,319.22,300.0,put,0.1753,3.0,2.84,3.12,635
2020-01-09,319.22,310.0,call,0.1557,11.33,11.13,11.47,764
2020-01-09,319.22,310.0,put,0.1902,2.0,1.85,2.24,621
2020-01-09,319.22,320.0,call,0.172,1.93,1.67,1.86,653
2020-01-09,319.22,320.0,put,0.1723,2.5,2.24,2.36,820
2020-01-09,319.22,330.0,call,0.1815,2.37,2.15,2.28,990
2020-01-09,319.22,330.0,put,0.209,13.79,13.59,13.83,676
2020-01-09,319.22,340.0,call,0.1984,2.97,2.78,3.1,1153
2020-01-09,319.22,340.0,put,0.2055,23.69,23.3,23.59,523
2020-01-10,317.92,300.0,call,0.1544,21.07,20.95,21.05,609
2020-01-10,317.92,300.0,put,0.179,2.88,2.6,2.9,949
2020-01-10,317.92,310.0,call,0.173,10.18,9.78,9.96,836
2020-01-10,317.92,310.0,put,0.1804,1.96,1.6,1.91,590
2020-01-10,317.92,320.0,call,0.1972,2.06,1.76,1.9,690
2020-01-10,317.92,320.0,put,0.1727,4.63,4.47,4.61,881
2020-01-10,317.92,330.0,call,0.174,2.48,2.22,2.37,1369
2020-01-10,317.92,330.0,put,0.182,14.59,14.29,14.65,759
2020-01-10,317.92,340.0,call,0.1909,3.52,3.32,3.57,502
2020-01-10,317.92,340.0,put,0.1891,25.29,25.12,25.32,802
2020-01-13,319.31,300.0,call,0.1863,22.59,22.48,22.62,784
2020-01-13,319.31,300.0,put,0.194,3.05,2.73,3.07,1149
2020-01-13,319.31,310.0,call,0.158,11.36,11.0,11.11,808
2020-01-13,319.31,310.0,put,0.166,2.81,2.61,2.76,856
2020-01-13,319.31,320.0,call,0.1663,2.19,1.8,2.05,992
2020-01-13,319.31,320.0,put,0.1933,2.91,2.57,2.9,662
2020-01-13,319.31,330.0,call,0.205,2.78,2.41,2.57,536
2020-01-13,319.31,330.0,put,0.2084,13.21,12.87,13.09,740
2020-01-13,319.31,340.0,call,0.1938,3.39,3.05,3.35,926
2020-01-13,319.31,340.0,put,0.2006,23.48,23.36,23.72,800
2020-01-14,320.64,300.0,call,0.1618,23.58,23.24,23.36,733
2020-01-14,320.64,300.0,put,0.1712,3.36,3.24,3.35,719
2020-01-14,320.64,310.0,call,0.1714,13.16,12.8,13.12,747
2020-01-14,320.64,310.0,put,0.2041,2.44,2.16,2.38,698
2020-01-14,320.64,320.0,call,0.1616,2.64,2.49,2.6,591
2020-01-14,320.64,320.0,put,0.1739,2.08,1.88,2.1,610
2020-01-14,320.64,330.0,call,0.1957,2.46,2.1,2.38,523
2020-01-14,320.64,330.0,put,0.1882,11.46,11.16,11.45,857
2020-01-14,320.64,340.0,call,0.2012,2.6,2.23,2.57,1151
2020-01-14,320.64,340.0,put,0.2069,22.64,22.38,22.72,597
2020-01-15,319.7,300.0,call,0.1814,22.63,22.3,22.54,819
2020-01-15,319.7,300.0,put,0.1619,3.42,3.17,3.54,723
2020-01-15,319.7,310.0,call,0.1929,12.36,12.09,12.25,1108
2020-01-15,319.7,310.0,put,0.2007,2.76,2.45,2.68,1005
2020-01-15,319.7,320.0,call,0.1724,1.63,1.4,1.67,1214
2020-01-15,319.7,320.0,put,0.1868,1.91,1.58,1.9,581
2020-01-15,319.7,330.0,call,0.1664,2.46,2.15,2.26,1247
2020-01-15,319.7,330.0,put,0.204,12.39,12.27,12.48,551
2020-01-15,319.7,340.0,call,0.1713,2.86,2.76,3.15,832
2020-01-15,319.7,340.0,put,0.2159,23.02,22.86,23.16,730
2020-01-16,321.02,300.0,call,0.1544,23.58,23.37,23.48,486
2020-01-16,321.02,300.0,put,0.167,2.66,2.46,2.85,557
2020-01-16,321.02,310.0,call,0.1597,14.04,13.83,14.07,675
2020-01-16,321.02,310.0,put,0.2028,2.69,2.53,2.93,1253
2020-01-16,321.02,320.0,call,0.1636,3.15,3.0,3.37,1140
2020-01-16,321.02,320.0,put,0.1821,1.79,1.46,1.65,679
2020-01-16,321.02,330.0,call,0.1813,2.0,1.86,1.97,868
2020-01-16,321.02,330.0,put,0.1913,11.48,11.16,11.3,836
2020-01-16,321.02,340.0,call,0.1864,3.09,2.96,3.19,467
2020-01-16,321.02,340.0,put,0.1818,21.84,21.61,21.93,1157
2020-01-17,320.48,300.0,call,0.1579,23.3,23.06,23.45,846
2020-01-17,320.48,300.0,put,0.1821,3.21,2.87,3.1,645
2020-01-17,320.48,310.0,call,0.1707,13.27,13.04,13.21,349
2020-01-17,320.48,310.0,put,0.1705,2.49,2.2,2.44,935
2020-01-17,320.48,320.0,call,0.1679,2.01,1.7,1.99,968
2020-01-17,320.48,320.0,put,0.2005,2.15,1.89,2.04,808
2020-01-17,320.48,330.0,call,0.193,2.45,2.15,2.48,837
2020-01-17,320.48,330.0,put,0.186,12.48,12.34,12.71,1136
2020-01-17,320.48,340.0,call,0.1714,2.73,2.47,2.74,726
2020-01-17,320.48,340.0,put,0.1899,22.28,21.95,22.32,856
2020-01-20,320.77,300.0,call,0.151,24.1,23.91,24.11,651
2020-01-20,320.77,300.0,put,0.1964,2.7,2.48,2.67,771
2020-01-20,320.77,310.0,call,0.1754,13.38,13.09,13.35,559
2020-01-20,320.77,310.0,put,0.1808,2.82,2.48,2.67,950
2020-01-20,320.77,320.0,call,0.1745,2.93,2.78,3.09,603
2020-01-20,320.77,320.0,put,0.1752,2.21,2.0,2.24,981
2020-01-20,320.77,330.0,call,0.1812,2.44,2.13,2.33,759
2020-01-20,320.77,330.0,put,0.1866,11.94,11.82,12.11,742
2020-01-20,320.77,340.0,call,0.1706,2.93,2.56,2.66,726
2020-01-20,320.77,340.0,put,0.2143,22.38,22.06,22.36,787
2020-01-21,319.29,300.0,call,0.152,22.37,21.97,22.33,699
2020-01-21,319.29,300.0,put,0.1694,3.22,3.03,3.16,493
2020-01-21,319.29,310.0,call,0.1738,11.58,11.43,11.66,970
2020-01-21,319.29,310.0,put,0.1832,2.67,2.41,2.55,671
2020-01-21,319.29,320.0,call,0.1968,1.98,1.64,1.86,869
2020-01-21,319.29,320.0,put,0.1792,2.45,2.07,2.35,613
2020-01-21,319.29,330.0,call,0.1673,2.42,2.25,2.38,826
2020-01-21,319.29,330.0,put,0.2009,12.92,12.64,12.92,863
2020-01-21,319.29,340.0,call,0.1986,3.05,2.86,3.22,666
2020-01-21,319.29,340.0,put,0.2056,23.77,23.38,23.77,976
2020-01-22,320.58,300.0,call,0.1871,23.69,23.44,23.75,833
2020-01-22,320.58,300.0,put,0.1615,2.69,2.59,2.89,953
2020-01-22,320.58,310.0,call,0.1603,13.39,13.09,13.48,440
2020-01-22,320.58,310.0,put,0.1829,2.37,2.24,2.6,1073
2020-01-22,320.58,320.0,call,0.1915,2.43,2.19,2.39,859
2020-01-22,320.58,320.0,put,0.1845,1.74,1.48,1.64,810
2020-01-22,320.58,330.0,call,0.1728,2.64,2.32,2.51,897
2020-01-22,320.58,330.0,put,0.1885,12.11,12.0,12.38,681
2020-01-22,320.58,340.0,call,0.1726,2.93,2.61,2.72,1001
2020-01-22,320.58,340.0,put,0.1981,22.01,21.89,22.02,282
2020-01-23,321.37,300.0,call,0.1659,24.86,24.63,24.75,499
2020-01-23,321.37,300.0,put,0.1925,2.61,2.46,2.71,948
2020-01-23,321.37,310.0,call,0.1594,14.31,13.93,14.13,565
2020-01-23,321.37,310.0,put,0.1757,2.61,2.45,2.64,901
2020-01-23,321.37,320.0,call,0.177,3.55,3.29,3.47,811
2020-01-23,321.37,320.0,put,0.2007,1.67,1.35,1.52,899
2020-01-23,321.37,330.0,call,0.1757,2.67,2.37,2.69,405
2020-01-23,321.37,330.0,put,0.1792,11.2,11.06,11.38,762
2020-01-23,321.37,340.0,call,0.1837,3.11,2.8,3.1,867
2020-01-23,321.37,340.0,put,0.1889,21.58,21.28,21.45,1171
2020-01-24,321.76,300.0,call,0.1606,24.52,24.18,24.45,675
2020-01-24,321.76,300.0,put,0.1601,2.72,2.5,2.89,1034
2020-01-24,321.76,310.0,call,0.1745,13.92,13.59,13.92,840
2020-01-24,321.76,310.0,put,0.1919,2.3,1.98,2.32,543
2020-01-24,321.76,320.0,call,0.1895,3.7,3.42,3.71,877
2020-01-24,321.76,320.0,put,0.2025,2.11,1.9,2.14,744
2020-01-24,321.76,330.0,call,0.1646,2.13,1.83,2.13,305
2020-01-24,321.76,330.0,put,0.1934,10.47,10.12,10.3,816
2020-01-24,321.76,340.0,call,0.1933,3.12,2.77,3.11,747
2020-01-24,321.76,340.0,put,0.1807,21.38,20.99,21.19,846
2020-01-27,321.58,300.0,call,0.1782,24.82,24.64,24.94,736
2020-01-27,321.58,300.0,put,0.1808,3.31,3.16,3.27,976
2020-01-27,321.58,310.0,call,0.1793,13.68,13.57,13.74,757
2020-01-27,321.58,310.0,put,0.1667,3.05,2.82,3.19,738
2020-01-27,321.58,320.0,call,0.1679,3.6,3.39,3.54,520
2020-01-27,321.58,320.0,put,0.1991,1.96,1.74,1.92,1317
2020-01-27,321.58,330.0,call,0.1855,2.66,2.35,2.59,1235
2020-01-27,321.58,330.0,put,0.1906,10.73,10.63,10.77,917
2020-01-27,321.58,340.0,call,0.204,2.93,2.61,2.75,615
2020-01-27,321.58,340.0,put,0.212,21.09,20.98,21.32,1135
2020-01-28,320.59,300.0,call,0.1812,23.8,23.65,23.77,1042
2020-01-28,320.59,300.0,put,0.1845,2.99,2.84,3.12,681
2020-01-28,320.59,310.0,call,0.1648,13.42,13.1,13.21,849
2020-01-28,320.59,310.0,put,0.1683,2.32,2.17,2.34,777
2020-01-28,320.59,320.0,call,0.1739,2.85,2.63,2.81,600
2020-01-28,320.59,320.0,put,0.1821,2.43,2.16,2.55,809
2020-01-28,320.59,330.0,call,0.1956,2.54,2.36,2.67,492
2020-01-28,320.59,330.0,put,0.1909,11.88,11.77,12.09,887
2020-01-28,320.59,340.0,call,0.1711,3.15,2.88,3.21,724
2020-01-28,320.59,340.0,put,0.188,22.41,22.21,22.6,1095
2020-01-29,322.0,300.0,call,0.1574,25.17,24.97,25.36,1036
2020-01-29,322.0,300.0,put,0.1878,3.28,3.07,3.44,678
2020-01-29,322.0,310.0,call,0.19,14.43,14.11,14.21,904
2020-01-29,322.0,310.0,put,0.2021,2.46,2.17,2.37,564
2020-01-29,322.0,320.0,call,0.1903,4.2,3.8,3.9,837
2020-01-29,322.0,320.0,put,0.174,2.53,2.15,2.39,846
2020-01-29,322.0,330.0,call,0.2019,2.72,2.39,2.71,896
2020-01-29,322.0,330.0,put,0.191,10.85,10.7,10.85,1033
2020-01-29,322.0,340.0,call,0.1954,2.56,2.43,2.68,878
2020-01-29,322.0,340.0,put,0.2092,20.66,20.47,20.7,539
2020-01-30,323.48,300.0,call,0.177,27.1,26.84,27.11,929
2020-01-30,323.48,300.0,put,0.1896,3.47,3.12,3.45,791
2020-01-30,323.48,310.0,call,0.1595,16.31,15.93,16.2,486
2020-01-30,323.48,310.0,put,0.1857,2.59,2.31,2.65,1174
2020-01-30,323.48,320.0,call,0.1674,5.17,4.91,5.29,680
2020-01-30,323.48,320.0,put,0.1934,2.17,1.85,2.02,544
2020-01-30,323.48,330.0,call,0.1989,2.1,1.72,2.1,992
2020-01-30,323.48,330.0,put,0.203,8.8,8.55,8.89,902
2020-01-30,323.48,340.0,call,0.1965,3.28,3.13,3.51,1055
2020-01-30,323.48,340.0,put,0.2159,19.1,18.74,19.07,675
2020-01-31,323.8,300.0,call,0.1517,26.53,26.43,26.61,815
2020-01-31,323.8,300.0,put,0.1891,3.32,3.1,3.46,602
2020-01-31,323.8,310.0,call,0.1546,16.46,16.11,16.25,756
2020-01-31,323.8,310.0,put,0.1641,2.66,2.4,2.51,627
2020-01-31,323.8,320.0,call,0.1807,5.84,5.74,5.9,991
2020-01-31,323.8,320.0,put,0.1698,2.62,2.27,2.65,959
2020-01-31,323.8,330.0,call,0.1757,2.72,2.32,2.65,753
2020-01-31,323.8,330.0,put,0.1969,8.41,8.22,8.34,1094
2020-01-31,323.8,340.0,call,0.1731,2.44,2.2,2.49,805
2020-01-31,323.8,340.0,put,0.211,18.55,18.28,18.6,738
2020-02-03,324.2,300.0,call,0.1859,27.25,26.97,27.09,459
2020-02-03,324.2,300.0,put,0.166,2.97,2.66,2.84,665
2020-02-03,324.2,310.0,call,0.1633,17.34,16.94,17.09,1005
2020-02-03,324.2,310.0,put,0.1644,2.8,2.51,2.62,651
2020-02-03,324.2,320.0,call,0.1882,6.73,6.61,6.9,657
2020-02-03,324.2,320.0,put,0.1862,1.87,1.67,1.97,839
2020-02-03,324.2,330.0,call,0.182,2.35,2.09,2.44,597
2020-02-03,324.2,330.0,put,0.1761,8.02,7.81,8.05,1104
2020-02-03,324.2,340.0,call,0.2012,2.8,2.4,2.76,928
2020-02-03,324.2,340.0,put,0.1788,18.83,18.72,19.09,918
2020-02-04,323.28,300.0,call,0.1649,26.0,25.81,26.03,1123
2020-02-04,323.28,300.0,put,0.1868,3.02,2.67,2.79,910
2020-02-04,323.28,310.0,call,0.1555,15.8,15.43,15.76,679
2020-02-04,323.28,310.0,put,0.1955,2.58,2.47,2.81,572
2020-02-04,323.28,320.0,call,0.166,5.33,5.12,5.26,726
2020-02-04,323.28,320.0,put,0.193,2.32,2.22,2.46,900
2020-02-04,323.28,330.0,call,0.1855,2.71,2.46,2.58,1177
2020-02-04,323.28,330.0,put,0.205,9.42,9.24,9.53,927
2020-02-04,323.28,340.0,call,0.1722,3.16,2.96,3.35,748
2020-02-04,323.28,340.0,put,0.2147,19.68,19.49,19.6,809
2020-02-05,322.91,300.0,call,0.1548,26.1,25.96,26.11,1051
2020-02-05,322.91,300.0,put,0.1682,3.52,3.23,3.61,663
2020-02-05,322.91,310.0,call,0.1729,15.94,15.64,15.75,809
2020-02-05,322.91,310.0,put,0.1703,2.38,2.21,2.57,962
2020-02-05,322.91,320.0,call,0.1771,5.43,5.29,5.56,1259
2020-02-05,322.91,320.0,put,0.1688,2.04,1.7,2.1,839
2020-02-05,322.91,330.0,call,0.1643,2.68,2.43,2.54,816
2020-02-05,322.91,330.0,put,0.198,9.72,9.42,9.63,703
2020-02-05,322.91,340.0,call,0.1696,2.79,2.42,2.62,801
2020-02-05,322.91,340.0,put,0.199,19.98,19.86,20.08,908
2020-02-06,323.38,300.0,call,0.1869,26.49,26.26,26.5,831
2020-02-06,323.38,300.0,put,0.1841,3.07,2.8,3.15,997
2020-02-06,323.38,310.0,call,0.1932,16.44,16.23,16.34,626
2020-02-06,323.38,310.0,put,0.1728,2.21,2.01,2.35,653
2020-02-06,323.38,320.0,call,0.1969,5.16,4.8,4.91,789
2020-02-06,323.38,320.0,put,0.1851,2.54,2.32,2.7,754
2020-02-06,323.38,330.0,call,0.1918,2.43,2.28,2.48,573
2020-02-06,323.38,330.0,put,0.2131,8.73,8.48,8.86,941
2020-02-06,323.38,340.0,call,0.1821,2.96,2.63,2.92,802
2020-02-06,323.38,340.0,put,0.2166,19.12,18.84,19.03,668
2020-02-07,323.79,300.0,call,0.1598,26.91,26.61,26.79,774
2020-02-07,323.79,300.0,put,0.1634,3.3,3.15,3.38,617
2020-02-07,323.79,310.0,call,0.169,16.05,15.74,16.04,843
2020-02-07,323.79,310.0,put,0.1853,2.36,2.2,2.37,552
2020-02-07,323.79,320.0,call,0.1791,6.3,6.09,6.45,771
2020-02-07,323.79,320.0,put,0.1815,1.81,1.42,1.78,483
2020-02-07,323.79,330.0,call,0.1795,2.67,2.3,2.5,620
2020-02-07,323.79,330.0,put,0.2009,8.93,8.53,8.85,798
2020-02-07,323.79,340.0,call,0.1803,3.19,2.79,2.99,1027
2020-02-07,323.79,340.0,put,0.2167,19.52,19.18,19.49,724
2020-02-10,322.75,300.0,call,0.1488,25.98,25.67,26.05,492
2020-02-10,322.75,300.0,put,0.1845,2.84,2.55,2.94,766
2020-02-10,322.75,310.0,call,0.1581,15.58,15.3,15.51,807
2020-02-10,322.75,310.0,put,0.1993,2.95,2.71,2.84,772
2020-02-10,322.75,320.0,call,0.1767,4.97,4.79,5.04,872
2020-02-10,322.75,320.0,put,0.1911,2.46,2.34,2.7,353
2020-02-10,322.75,330.0,call,0.2005,2.03,1.68,2.03,974
2020-02-10,322.75,330.0,put,0.198,9.32,9.01,9.23,633
2020-02-10,322.75,340.0,call,0.1695,2.5,2.28,2.65,391
2020-02-10,322.75,340.0,put,0.2158,19.7,19.42,19.62,623
2020-02-11,322.77,300.0,call,0.1668,25.89,25.76,26.11,512
2020-02-11,322.77,300.0,put,0.1775,2.82,2.56,2.71,817
2020-02-11,322.77,310.0,call,0.1877,15.74,15.6,15.72,981
2020-02-11,322.77,310.0,put,0.2017,2.69,2.51,2.68,883
2020-02-11,322.77,320.0,call,0.163,4.55,4.21,4.35,1044
2020-02-11,322.77,320.0,put,0.1741,2.2,2.1,2.46,519
2020-02-11,322.77,330.0,call,0.1859,2.62,2.37,2.68,1032
2020-02-11,322.77,330.0,put,0.2086,9.43,9.3,9.4,692
2020-02-11,322.77,340.0,call,0.1777,3.2,3.01,3.18,315
2020-02-11,322.77,340.0,put,0.199,19.93,19.81,20.08,813
2020-02-12,321.95,300.0,call,0.1637,24.93,24.6,24.77,1103
2020-02-12,321.95,300.0,put,0.1783,3.48,3.27,3.49,670
2020-02-12,321.95,310.0,call,0.1592,14.83,14.61,14.86,512
2020-02-12,321.95,310.0,put,0.179,3.01,2.78,2.99,853
2020-02-12,321.95,320.0,call,0.1751,4.31,3.91,4.27,635
2020-02-12,321.95,320.0,put,0.1869,1.94,1.77,1.93,821
2020-02-12,321.95,330.0,call,0.2023,2.4,2.27,2.49,616
2020-02-12,321.95,330.0,put,0.2132,10.93,10.66,10.95,954
2020-02-12,321.95,340.0,call,0.1961,2.9,2.65,2.84,764
2020-02-12,321.95,340.0,put,0.1917,21.34,21.17,21.56,719
2020-02-13,323.4,300.0,call,0.1713,26.11,25.98,26.14,754
2020-02-13,323.4,300.0,put,0.1902,3.03,2.86,2.97,886
2020-02-13,323.4,310.0,call,0.1686,15.58,15.45,15.73,922
2020-02-13,323.4,310.0,put,0.1929,2.37,2.27,2.64,746
2020-02-13,323.4,320.0,call,0.1921,5.14,4.99,5.16,976
2020-02-13,323.4,320.0,put,0.2006,2.11,1.9,2.23,714
2020-02-13,323.4,330.0,call,0.1879,2.1,1.83,2.14,940
2020-02-13,323.4,330.0,put,0.1989,9.02,8.89,9.27,533
2020-02-13,323.4,340.0,call,0.1969,2.6,2.29,2.58,694
2020-02-13,323.4,340.0,put,0.2012,19.59,19.43,19.68,635
2020-02-14,322.26,300.0,call,0.1531,25.79,25.65,26.02,583
2020-02-14,322.26,300.0,put,0.1725,3.03,2.82,3.09,841
2020-02-14,322.26,310.0,call,0.1673,15.2,15.03,15.2,335
2020-02-14,322.26,310.0,put,0.1648,2.84,2.74,2.96,857
2020-02-14,322.26,320.0,call,0.1894,4.32,4.09,4.27,657
2020-02-14,322.26,320.0,put,0.1802,2.27,1.99,2.37,822
2020-02-14,322.26,330.0,call,0.2026,2.41,2.28,2.47,502
2020-02-14,322.26,330.0,put,0.2117,9.78,9.67,10.03,766
2020-02-14,322.26,340.0,call,0.2011,3.15,2.91,3.21,689
2020-02-14,322.26,340.0,put,0.1945,20.91,20.57,20.96,868
2020-02-17,323.43,300.0,call,0.1756,26.62,26.3,26.45,1079
2020-02-17,323.43,300.0,put,0.1821,3.11,2.82,3.11,653
2020-02-17,323.43,310.0,call,0.1892,16.17,16.01,16.24,819
2020-02-17,323.43,310.0,put,0.197,2.73,2.57,2.68,1233
2020-02-17,323.43,320.0,call,0.1637,5.54,5.24,5.41,640
2020-02-17,323.43,320.0,put,0.1986,2.1,1.81,2.21,435
2020-02-17,323.43,330.0,call,0.1987,2.17,1.86,2.01,624
2020-02-17,323.43,330.0,put,0.1908,8.84,8.54,8.89,733
2020-02-17,323.43,340.0,call,0.187,2.48,2.15,2.48,991
2020-02-17,323.43,340.0,put,0.1968,19.44,19.07,19.38,742
2020-02-18,321.99,300.0,call,0.1573,25.44,25.16,25.52,683
2020-02-18,321.99,300.0,put,0.1592,3.6,3.46,3.75,872
2020-02-18,321.99,310.0,call,0.1736,14.47,14.21,14.33,1028
2020-02-18,321.99,310.0,put,0.1646,2.52,2.19,2.38,756
2020-02-18,321.99,320.0,call,0.1888,4.36,4.19,4.58,1193
2020-02-18,321.99,320.0,put,0.1895,1.75,1.57,1.85,869
2020-02-18,321.99,330.0,call,0.1751,2.74,2.57,2.79,617
2020-02-18,321.99,330.0,put,0.207,10.17,10.04,10.19,792
2020-02-18,321.99,340.0,call,0.1941,2.96,2.84,3.24,626
2020-02-18,321.99,340.0,put,0.2082,20.44,20.21,20.51,822
2020-02-19,323.38,300.0,call,0.1788,26.93,26.79,27.02,956
2020-02-19,323.38,300.0,put,0.1737,3.01,2.8,3.14,831
2020-02-19,323.38,310.0,call,0.1609,16.37,16.11,16.31,687
2020-02-19,323.38,310.0,put,0.1831,2.19,1.83,2.03,761
2020-02-19,323.38,320.0,call,0.1721,6.04,5.76,5.99,818
2020-02-19,323.38,320.0,put,0.1911,2.19,1.83,2.11,727
2020-02-19,323.38,330.0,call,0.1827,2.35,2.02,2.22,506
2020-02-19,323.38,330.0,put,0.2131,9.15,8.76,8.98,688
2020-02-19,323.38,340.0,call,0.1927,3.08,2.88,3.06,982
2020-02-19,323.38,340.0,put,0.2183,19.81,19.65,20.0,768
2020-02-20,324.83,300.0,call,0.1587,28.23,27.9,28.02,872
2020-02-20,324.83,300.0,put,0.1858,3.69,3.58,3.86,644
2020-02-20,324.83,310.0,call,0.1643,17.18,16.87,17.26,616
2020-02-20,324.83,310.0,put,0.1806,2.66,2.4,2.62,785
2020-02-20,324.83,320.0,call,0.1608,7.55,7.15,7.3,812
2020-02-20,324.83,320.0,put,0.1955,1.77,1.42,1.71,1014
2020-02-20,324.83,330.0,call,0.1734,2.63,2.33,2.53,268
2020-02-20,324.83,330.0,put,0.1745,7.64,7.29,7.6,635
2020-02-20,324.83,340.0,call,0.1732,2.86,2.52,2.75,667
2020-02-20,324.83,340.0,put,0.1901,18.24,17.99,18.22,724
2020-02-21,323.7,300.0,call,0.1631,26.9,26.73,27.07,690
2020-02-21,323.7,300.0,put,0.1705,3.51,3.14,3.53,898
2020-02-21,323.7,310.0,call,0.1538,16.63,16.37,16.51,803
2020-02-21,323.7,310.0,put,0.1793,2.66,2.28,2.4,962
2020-02-21,323.7,320.0,call,0.1865,6.23,6.02,6.19,830
2020-02-21,323.7,320.0,put,0.174,2.24,2.06,2.17,966
2020-02-21,323.7,330.0,call,0.1725,2.64,2.41,2.78,940
2020-02-21,323.7,330.0,put,0.1956,9.0,8.73,8.88,748
2020-02-21,323.7,340.0,call,0.1781,3.3,3.11,3.47,891
2020-02-21,323.7,340.0,put,0.207,19.41,19.06,19.18,483
2020-02-24,322.7,300.0,call,0.1689,25.55,25.29,25.54,859
2020-02-24,322.7,300.0,put,0.1591,3.46,3.34,3.73,860
2020-02-24,322.7,310.0,call,0.193,15.58,15.34,15.52,643
2020-02-24,322.7,310.0,put,0.1795,2.86,2.49,2.64,896
2020-02-24,322.7,320.0,call,0.1684,4.54,4.43,4.79,725
2020-02-24,322.7,320.0,put,0.1865,2.09,1.76,2.09,794
2020-02-24,322.7,330.0,call,0.169,2.49,2.24,2.34,977
2020-02-24,322.7,330.0,put,0.1883,10.13,9.88,10.19,1037
2020-02-24,322.7,340.0,call,0.174,2.84,2.52,2.87,862
2020-02-24,322.7,340.0,put,0.1976,20.11,19.87,20.06,991
2020-02-25,323.63,300.0,call,0.1847,26.66,26.37,26.58,528
2020-02-25,323.63,300.0,put,0.1782,3.36,3.03,3.38,653
2020-02-25,323.63,310.0,call,0.1607,16.02,15.77,16.02,885
2020-02-25,323.63,310.0,put,0.1992,2.96,2.71,3.06,574
2020-02-25,323.63,320.0,call,0.1772,5.65,5.42,5.66,761
2020-02-25,323.63,320.0,put,0.1974,2.65,2.41,2.53,746
2020-02-25,323.63,330.0,call,0.1712,1.92,1.74,2.08,1206
