Date,Open,High,Low,Close,Adj Close,Volume
2013-07-31,218.0,220.25,217.25,219.0,221.17,2099000
2013-08-30,219.5,221.75,218.75,220.5,222.72,2100500
2013-09-30,221.0,223.25,220.25,222.0,224.26,2102000
2013-10-31,222.5,224.75,221.75,223.5,225.81,2103500
2013-11-29,224.0,226.25,223.25,225.0,227.36,2105000
2013-12-31,225.5,227.75,224.75,226.5,228.91,2106500
2014-01-31,227.0,229.25,226.25,228.0,230.46,2108000
2014-02-28,228.5,230.75,227.75,229.5,232.01,2109500
2014-03-31,230.0,232.25,229.25,231.0,233.56,2111000
2014-04-30,231.5,233.75,230.75,232.5,235.12,2112500
2014-05-30,233.0,235.25,232.25,234.0,236.67,2114000
2014-06-30,234.5,236.75,233.75,235.5,238.22,2115500
2014-07-31,236.0,238.25,235.25,237.0,239.77,2117000
2014-08-29,237.5,239.75,236.75,238.5,241.33,2118500
2014-09-30,239.0,241.25,238.25,240.0,242.88,2120000
2014-10-31,240.5,242.75,239.75,241.5,244.43,2121500
2014-11-28,242.0,244.25,241.25,243.0,245.99,2123000
2014-12-31,243.5,245.75,242.75,244.5,247.54,2124500
2015-01-30,245.0,247.25,244.25,246.0,249.1,2126000
2015-02-27,246.5,248.75,245.75,247.5,250.66,2127500
2015-03-31,248.0,250.25,247.25,249.0,252.21,2129000
2015-04-30,249.5,251.75,248.75,250.5,253.77,2130500
2015-05-29,251.0,253.25,250.25,252.0,255.33,2132000
2015-06-30,252.5,254.75,251.75,253.5,256.88,2133500
2015-07-31,254.0,256.25,253.25,255.0,258.44,2135000
2015-08-31,255.5,257.75,254.75,256.5,260.0,2136500
2015-09-30,257.0,259.25,256.25,258.0,261.56,2138000
2015-10-30,258.5,260.75,257.75,259.5,263.12,2139500
2015-11-30,260.0,262.25,259.25,261.0,264.68,2141000
2015-12-31,261.5,263.75,260.75,262.5,266.24,2142500
2016-01-29,263.0,265.25,262.25,264.0,267.8,2144000
2016-02-29,264.5,266.75,263.75,265.5,269.36,2145500
2016-03-31,266.0,268.25,265.25,267.0,270.92,2147000
2016-04-29,267.5,269.75,266.75,268.5,272.49,2148500
2016-05-31,269.0,271.25,268.25,270.0,274.05,2150000
2016-06-30,270.5,272.75,269.75,271.5,275.61,2151500
2016-07-29,272.0,274.25,271.25,273.0,277.18,2153000
2016-08-31,273.5,275.75,272.75,274.5,278.74,2154500
2016-09-30,275.0,277.25,274.25,276.0,280.31,2156000
2016-10-31,276.5,278.75,275.75,277.5,281.87,2157500
2016-11-30,278.0,280.25,277.25,279.0,283.44,2159000
2016-12-30,279.5,281.75,278.75,280.5,285.0,2160500
2017-01-31,281.0,283.25,280.25,282.0,286.57,2162000
2017-02-28,282.5,284.75,281.75,283.5,288.14,2163500
2017-03-31,284.0,286.25,283.25,285.0,289.7,2165000
2017-04-28,285.5,287.75,284.75,286.5,291.27,2166500
2017-05-31,287.0,289.25,286.25,288.0,292.84,2168000
2017-06-30,288.5,290.75,287.75,289.5,294.41,2169500
2017-07-31,290.0,292.25,289.25,291.0,295.98,2171000
2017-08-31,291.5,293.75,290.75,292.5,297.55,2172500
2017-09-29,293.0,295.25,292.25,294.0,299.12,2174000
2017-10-31,294.5,296.75,293.75,295.5,300.69,2175500
2017-11-30,296.0,298.25,295.25,297.0,302.26,2177000
2017-12-29,297.5,299.75,296.75,298.5,303.83,2178500
2018-01-31,299.0,301.25,298.25,300.0,305.4,2180000
2018-02-28,300.5,302.75,299.75,301.5,306.97,2181500
2018-03-30,302.0,304.25,301.25,303.0,308.54,2183000
2018-04-30,303.5,305.75,302.75,304.5,310.12,2184500
2018-05-31,305.0,307.25,304.25,306.0,311.69,2186000
2018-06-29,306.5,308.75,305.75,307.5,313.27,2187500
2018-07-31,308.0,310.25,307.25,309.0,314.84,2189000
2018-08-31,309.5,311.75,308.75,310.5,316.42,2190500
2018-09-28,311.0,313.25,310.25,312.0,317.99,2192000
2018-10-31,312.5,314.75,311.75,313.5,319.57,2193500
2018-11-30,314.0,316.25,313.25,315.0,321.14,2195000
2018-12-31,315.5,317.75,314.75,316.5,322.72,2196500
2019-01-31,317.0,319.25,316.25,318.0,324.3,2198000
2019-02-28,318.5,320.75,317.75,319.5,325.87,2199500
2019-03-29,320.0,322.25,319.25,321.0,327.45,2201000
2019-04-30,321.5,323.75,320.75,322.5,329.03,2202500
2019-05-31,323.0,325.25,322.25,324.0,330.61,2204000
2019-06-28,324.5,326.75,323.75,325.5,332.19,2205500
2019-07-31,326.0,328.25,325.25,327.0,333.77,2207000
2019-08-30,327.5,329.75,326.75,328.5,335.35,2208500
2019-09-30,329.0,331.25,328.25,330.0,336.93,2210000
2019-10-31,330.5,332.75,329.75,331.5,338.51,2211500
2019-11-29,332.0,334.25,331.25,333.0,340.09,2213000
2019-12-31,333.5,335.75,332.75,334.5,341.68,2214500
2020-01-31,335.0,337.25,334.25,336.0,343.26,2216000
2020-02-28,336.5,338.75,335.75,337.5,344.84,2217500
2020-03-31,338.0,340.25,337.25,339.0,346.42,2219000
2020-04-30,339.5,341.75,338.75,340.5,348.01,2220500
2020-05-29,341.0,343.25,340.25,342.0,349.59,2222000
2020-06-30,342.5,344.75,341.75,343.5,351.18,2223500
2020-07-31,344.0,346.25,343.25,345.0,352.76,2225000
2020-08-31,345.5,347.75,344.75,346.5,354.35,2226500
2020-09-30,347.0,349.25,346.25,348.0,355.93,2228000
2020-10-30,348.5,350.75,347.75,349.5,357.52,2229500
2020-11-30,350.0,352.25,349.25,351.0,359.11,2231000
2020-12-31,351.5,353.75,350.75,352.5,360.7,2232500
2021-01-29,353.0,355.25,352.25,354.0,362.28,2234000
2021-02-26,354.5,356.75,353.75,355.5,363.87,2235500
2021-03-31,356.0,358.25,355.25,357.0,365.46,2237000
2021-04-30,357.5,359.75,356.75,358.5,367.05,2238500
2021-05-31,359.0,361.25,358.25,360.0,368.64,2240000
2021-06-30,360.5,362.75,359.75,361.5,370.23,2241500
2021-07-30,362.0,364.25,361.25,363.0,371.82,2243000
2021-08-31,363.5,365.75,362.75,364.5,373.41,2244500
2021-09-30,365.0,367.25,364.25,366.0,375.0,2246000
2021-10-29,366.5,368.75,365.75,367.5,376.6,2247500
2021-11-30,368.0,370.25,367.25,369.0,378.19,2249000
2021-12-31,369.5,371.75,368.75,370.5,379.78,2250500
2022-01-31,371.0,373.25,370.25,372.0,381.37,2252000
2022-02-28,372.5,374.75,371.75,373.5,382.97,2253500
2022-03-31,374.0,376.25,373.25,375.0,384.56,2255000
2022-04-29,375.5,377.75,374.75,376.5,386.16,2256500
2022-05-31,377.0,379.25,376.25,378.0,387.75,2258000
2022-06-30,378.5,380.75,377.75,379.5,389.35,2259500
2022-07-29,380.0,382.25,379.25,381.0,390.94,2261000
2022-08-31,381.5,383.75,380.75,382.5,392.54,2262500
2022-09-30,383.0,385.25,382.25,384.0,394.14,2264000
2022-10-31,384.5,386.75,383.75,385.5,395.74,2265500
2022-11-30,386.0,388.25,385.25,387.0,397.33,2267000
2022-12-30,387.5,389.75,386.75,388.5,398.93,2268500
